id,intent,text
239,osx,Testing HTTPS files with MAMP
240,apache,Apache serving files that should not be served.
241,visual-studio,Working on a Visual Studio Project with multiple users?
242,svn,How do I download code using SVN/Tortoise from Google Code?
243,oracle,Microsoft T-SQL to Oracle PL/SQL translation
244,svn,How can I make Eclipse file search not include svn directories?
245,sharepoint,How to display line breaks in SharePoint comment history field
246,linq,Managing LINQ to SQL .dbml model complexity
247,visual-studio,What does the EXE do in the Visual Studio setup project output
248,oracle,Simulated OLAP
249,visual-studio,Scripting the Visual Studio IDE
250,osx,How to use p4merge as the merge/diff tool for Mercurial?
251,bash,Worth switching to zsh for casual use?
252,apache,Kerberos user authentication in Apache
253,ajax,How sophisticated should be my Ajax code?
254,visual-studio,Why is Visual Studio 2005 so slow?
255,excel,MS Access Reporting - can it be pretty?
256,oracle,Oracle equivalent to MSSQL DateDiff
257,oracle,PLS-00306 error on call to cursor
258,oracle,How SID is different from Service name in Oracle tnsnames.ora
259,visual-studio,Resources for building a Visual Studio plug-in?
260,apache,Best way to rotate Apache log files
261,oracle,Which Oracle version supports cube and rollup?
262,ajax,"Best Language for an AJAX-driven ""Reputation Index"""
263,visual-studio,How do I get the Click Once Publish version to match the AssemblyInfo.cs File Version.
264,svn,How do I simultaneously work on version 1.1 and version 2.0?
265,osx,.NET Development on a Mac Tips
266,svn,"Eclipse ""Share Project"" by hand?"
267,sharepoint,How do I read/write Person metadata from a Word doc stored in SharePoint using VBA or VSTO?
268,visual-studio,How to find the current name of the test being executing?
269,apache,How do you make an etag that matches Apache?
270,svn,How do you retrieve the commit message and file list for a particular revision?
271,visual-studio,How do I force unix (LF) line endings in Visual Stuido (Express) 2008?
272,osx,Is it possible to forward ssh requests that come in over a certain port to another machine?
273,svn,Change default author in local svn repo
274,visual-studio,Common Files in Visual Studio Solution
275,visual-studio,Visual Studio Add-in not going away
276,linq,How can I extract a part of an xaml object graph via linq to xml?
277,apache,apache mod_proxy error os10060 and returning 503?
278,sharepoint,Customize the Sharepoint add list column page
279,osx,Opening a non-standard URL in a Cocoa app
280,visual-studio,Tips and tricks for working with Microsoft Visual Studio solutions and project
281,oracle,Tools for matching name/address data
282,svn,How do you move a file in SVN?
283,linq,What are the names given to these 2 LINQ expressions
284,linq,Mapping collections with LINQ
285,visual-studio,Can Visual Studio put timestamps in the build log?
286,sharepoint,Information Management Policy in SharePoint
287,svn,"""Phantom"" directories in an SVN repository"
288,osx,Is there a good Fogbugz client for Mac OS X?
289,visual-studio,"""Cannot change DataType of a column once it has data"" error in Visual Studio 2005 DataSet Designer"
290,oracle,How would you migrate hundreds of MS Access databases to a central service?
291,osx,How to get the most of out laptop batteries
292,oracle,Is there any good oracle podcasts
293,oracle,SQL Compare-Like tool for Oracle?
294,visual-studio,What is the shortcut key for Run to cursor
295,linq,What are some good LINQ resouces?
296,sharepoint,SharePoint Infrastructure Upgrade - whoops
297,visual-studio,"How to disable Visual Studio macro ""tip"" balloon?"
298,oracle,Choosing a desktop database
299,osx,Citrix Server sort of app - on a Mac?
300,bash,Boolean Expressions in Shell Scripts
301,haskell,Fundeps and GADTs: When is type checking decidable?
302,svn,Best SVN Tools
303,bash,How do I write a for loop in bash
304,sharepoint,Sharepoint scheduling with SSRS issue.
305,hibernate,Querying collections of value type in the Criteria API in Hibernate
306,oracle,Problem with Oracle Application Server SSL Certificates
307,bash,How do you parse a filename in bash?
308,osx,When to create Interface Builder plug-in for custom view?
309,visual-studio,"What's the state of play with ""Visual Inheritance"""
310,apache,Apache rewrite based on subdomain
311,oracle,Reverse engineer (oracle) schema to ERD
312,svn,Using a wiki as a central development project repository
313,visual-studio,colored build output in Visual Studio
314,svn,Best tools for code reviews
315,excel,Count a list of cells with the same background color
316,linq,Optimizing a LINQ query.
317,visual-studio,Why the option to use attributes in new ATL projects was removed from Visual Studio 2008?
318,svn,Better Merge Tool for Subversion
319,wordpress,Wordpress Category Template Question
320,linq,linq - how do you do a query for items in one query source that are not in another one?
321,visual-studio,"Visual Studio 2008 ""randomly"" hangs on test run"
322,wordpress,Wordpress Term exist not having desired effect
323,drupal,Drupal / Rules: flagging multiple terms on user save
324,excel,Excel VBA : Get hwnd value of a CommandButton
325,visual-studio,Visual Studio 2005 crashes on start-up
326,drupal,What version of TinyMCE will work in Drupal 5 with google chrome?
327,haskell,What is the simplest way to write web apps in Haskell?
328,excel,Modifying a spreadsheet using a VB macro
329,visual-studio,How do I stop visual studio from automatically inserting asterisk during a block comment?
330,sharepoint,Can a STP template be hidden from subsite creation page?
331,svn,How would you set up an Subversion repository for in house software projects
332,ajax,"Access to restricted URI denied"" code: ""1012"
333,svn,How do you treat legacy code (and data)?
334,osx,Mail Message Link Handling
335,visual-studio,Can MS Visual Studio compile projects using 2 or 4 cores on CPU?
336,visual-studio,Using Makefile instead of Solution/Project files under Visual Studio (2005)
337,visual-studio,Continuous Integration
338,excel,How do I create a status dialog box in Excel
339,svn,What is the best subversion client for Linux?
340,visual-studio,Does anyone know the shortcut to open a file within your solution
341,ajax,What are the (technical) pros and cons of Flash vs AJAX/JS?
342,visual-studio,Tablet PC SDK (1.7) Merge Module + VS2008 + Windows Vista?
343,visual-studio,How to validate an XML file against a schema using Visual Studio 2005
344,svn,Ignore SVN ignore... possible?
345,svn,Mirroring perforce with SVK?
346,osx,How do you keep the machine awake?
347,svn,How could I get my SVN-only host to pull from a git repository?
348,cocoa,Best way to draw text with OpenGL and Cocoa?
349,hibernate,Getting hibernate to log clob parameters
350,osx,NMBLookup OS X returning inconsistant results
351,osx,Creating MP4/M4A files with Chapter marks
352,excel,Hiding data points in Excel line charts
353,visual-studio,Why can't Visual Studio run on more than one core?  CPU at 25%
354,visual-studio,Tool to view the contents of the Solution User Options file (.suo)
355,ajax,AJAX XMLHttpRequest object limt
356,svn,Any tools to get code churn metrics for a Subversion repository?
357,apache,Apache Download: Make sure that page was viewed before download
358,cocoa,Unfiltering NSPasteboard
359,visual-studio,Rehsarper 4.0 - Renaming a class does not rename the file
360,svn,Find checkout history for SVN working folder
361,oracle,How can I kill all sessions connecting to my oracle database?
362,visual-studio,What’s the best approach when migrating legacy projects across versions of visual studio?
363,svn,"Can you ""ignore"" a file in Perforce?"
364,visual-studio,Very slow compile times on Visual Studio
365,sharepoint,SharePoint Permissions
366,bash,Bash script to pack file names
367,visual-studio,Visual studio automation: Enumerate opened windows upon solution loading.
368,svn,Prevent file casing problems in Subversion
369,svn,Subversion merge history visualisation
370,osx,"Sending messages to objects while debugging Objective-C in gdb, without symbols."
371,svn,Recovering from a slightly out of date subversion repository backup
372,osx,"Using an external ""windows""-keyboard under Mac OS X"
373,oracle,Double Quotes in Oracle Column Aliases
374,spring,Validation framework for business app built on Spring 2.5
375,osx,Cocoa Won't Capture Shift Modifier?
376,svn,How do I sync between VSS and SVN
377,visual-studio,I don't get the concept of Visual Studio Projects and Solutions.
378,ajax,Ajax and a restricted uri
379,osx,Sample code for using macbook camera in a program?
380,svn,Perforce blame
381,svn,Recommendation on Tools to migrate from Clearcase to SVN?
382,svn,Opensourcing a starter web application
383,visual-studio,"How to ""Add Existing Item"" an entire directory structure in Visual Studio"
384,oracle,SQL/Oracle: when indexes on multiple columns can be used
385,excel,Top ten ordering in Excel based on complex team rules
386,ajax,Something special about Safari for Windows and AJAX?
387,osx,MacBook vs MacBook Pro for .NET development and other stuff
388,bash,Using the result of a command as an argument in bash?
389,visual-studio,Compiling code on an external drive
390,osx,Mac font rendering on Windows
391,oracle,SSIS Oracle Parameter Mapping
392,visual-studio,What tool do you use for counting lines of source code in Visual Studio Projects ?
393,sharepoint,Retrieving the associated shared service provider's name?
394,visual-studio,"Is there a keyboard shortcut for ""Build Page"" in Visual Studio 2005?"
395,visual-studio,"How to permanently remove a breakpoint in Visual Studio 2005 /2008 (ASP.NET, C#)"
396,excel,How do I save each sheet in an Excel workbook to seperate CSV files with a macro?
397,hibernate,maxElementsOnDisk from EHCache to TreeCache
398,oracle,Wrap an Oracle schema update in a transaction
399,svn,Best way to migrate from VSS to Subversion?
400,qt,Write Text to a QTextEdit Box From a C Function
401,svn,Free Online SVN repositories
402,linq,bug in linq Contains statement - is there a fix or workaround?
403,bash,Can a Bash script tell what directory it's in?
404,apache,Why won't my local Apache open html pages?
405,ajax,AJAX Library Strategies
406,svn,How to setup a Subversion (SVN) server on GNU/Linux - Ubuntu
407,bash,Advanced directory switching in bash
408,osx,Changing the font in Aquamacs?
409,svn,SVN plugins for Eclipse - Subclipse vs. Subversive
410,osx,Qt+Mac: serial port doesn't answer on commands
411,osx,"""Beautifying"" an OS X disk image"
412,linq,Sum of items in a collection
413,svn,Using svn for general purpose backup
414,oracle,Howto import an oracle dump in an different tablespace
415,bash,How do I use a pipe in the exec parameter for a find command?
416,svn,Dealing with SVN keyword expansion with git-svn
417,apache,How to convert Apache .htaccess files into Lighttpd rules?
418,svn,How do I move tags in Subversion
419,ajax,How to prevent IE6 from refetching already-fetched images added via DOM manipulation
420,spring,Accessing a bean with a dot(.) in its ID
421,svn,SVN externals sub folder changes not showing in view log (tortoise svn)
422,linq,How do you extend Linq to SQL?
423,sharepoint,Easy way to create a form to email in SharePoint without using infopath.
424,drupal,What makes Drupal better/different from Joomla
425,sharepoint,What kind of CAL do I need for Sharepoint?
426,wordpress,Joomla Blog/Wordpress Integration
427,osx,NSMatrix in ScrollView; origin settings are locked. Why?
428,apache,Using Apache mod_rewrite to remove sub-directories from URL
429,visual-studio,Visual Studio Extensibility: Adding existing folders to a project
430,excel,Function Overloading in Excel VBA
431,osx,Disk Activity in Applescript
432,osx,Why is my cocoa program getting EXC_BAD_ACCESS during startup?
433,haskell,exposition on arrows
434,svn,How can I speed up SVN updates?
435,osx,Using network services when disconnected in Mac OS X
436,linq,.NET 3.5 Linq Datasource and Joins
437,osx,Setting movie metadata with QTKit
438,svn,Installing Svn 1.5.x on Debian Etch - Best approach?
439,qt,Custom style with Qt
440,wordpress,Updates to Wordpress theme template/stylesheet are not reflected when a file is edited
441,osx,Is it safe to manipulate objects that i created outside my thread if i don't explicitly access them on the thread which created them?
442,apache,Releasing under license: Do all files need the copyright statment?
443,excel,How do you prevent printing dialog when using Excel PrintOut method
444,visual-studio,Why isn't there a Team Foundation Server Express Edition?
445,cocoa,Good ways to Learn Cocoa?
446,bash,What are some of your favorite little known command-line tricks using Bash?
447,svn,How to merge from branch to branch and back again (bidirectional merging) in SVN?
448,haskell,What are my IDE/Editor choices for Haskell?
449,visual-studio,How do you stop a Visual Studio generated web service proxy class from encoding?
450,cocoa,Dynamically hiding columns in a NSTableView
451,visual-studio,"How can I stop Visual Studio (both 2005 and 2008) from crashing (sometimes) when I select the ""Close All But This"" option?"
452,sharepoint,Errors creating WebPart subclass in another assembly
453,svn,Opinion of Hosted SVN providers?
454,osx,"In Applescript, how can I get to the Help menu Search field, like Spotlight?"
455,visual-studio,How do I keep Resharper Files out of SVN?
456,svn,SVN and renaming the server it's running on
457,visual-studio,stringstream manipulators & vstudio 2003
458,visual-studio,Visual Studio 2005 - 'Updating IntelliSense' hang-up
459,visual-studio,Visual Studio 2005 ERROR: An error occurred generating a bootstrapper: Invalid syntax.
460,osx,How do you configure the Apache server which ships Mac OS X?
461,visual-studio,Remove VSMacros80 directory
462,visual-studio,How to get t4 files to build in visual studio?
463,bash,What are your most important console aliases?
464,excel,How can I find last row that contains data in the excel sheet with a macro?
465,svn,How to create project specific respository post-commit actions
466,oracle,Stored Procedures in MS-SQL Server 2005 and Oracle
467,svn,Migrating to Team System from SVN & Cruise Control.NET and back
468,bash,Grabbing every 4th file
469,bash,Delete all but the 4 newest directories
470,sharepoint,Sharepoint best practices
471,oracle,ORA-00933: SQL command not properly ended
472,apache,Getting ASN.1 Issuer strings from PEM files?
473,visual-studio,Should I add the Visual Studio .suo and .user files to source control
474,sharepoint,Auto number column in SharePoint list
475,sharepoint,SharePoint Content Query Web Part
476,excel,What is the best way to process all versions of MS Excel spreadsheets with php on a non-Windows machine.
477,qt,Qt or Delphi... If you were to choose one over the other?
478,visual-studio,"[VS] How do I add Debug Breakpoints to lines displayed in a ""Find Results"" window"
479,visual-studio,How to tell if .net code is being run by Visual Studio designer
480,oracle,What is the dual table in Oracle?
481,excel,How to iterate through all the cells in Excel VBA or VSTO 2005
482,svn,How do I tell Subversion to treat a file as a binary file?
483,visual-studio,Disabling copy of empty text in Visual Studio
484,oracle,What is the difference between Explicit and inplicit cursors in Oracle?
485,hibernate,Is it possible to use analyic functions in Hibernate?
486,qt,I'm looking to use Visual Studio to write and compile using the open source version of Qt4.
487,visual-studio,TFS annotate/blame summary report for a project
488,svn,VisualSVN wants a username and password
489,visual-studio,How to make clipboard ring appear in VS2008 toolbox?
490,qt,How do I store the window size between sessions in Qt?
491,svn,How do I compile mod_dontdothat on Windows
492,bash,How can I create a command line (unix/linux) instruction that uses variables to execute numerous commands?
493,apache,How can I pre-compress files with mod_deflate in Apache 2.x?
494,osx,Better terminal in Mac OS X -- reversing the control and command key-mappings
495,visual-studio,Best way to do Visual Studio post build deployment in a team environment?
496,sharepoint,"Sharepoint: Best way to display lists of non-Sharepoint content with ""compatible"" UI?"
497,svn,partial commits with subversion
498,visual-studio,x86 Remote Debugger Service on x64
499,drupal,Drupal 6: How to quickly theme a view ?
500,visual-studio,Visual Studio keeps adding blank lines
501,cocoa,Esc and Enter keys in Cocoa dialog
502,visual-studio,Executing different set of MSBuild tasks for each user?
503,excel,How to iterate over all the page breaks in an Excel 2003 worksheet via COM
504,visual-studio,Any good PowerShell MSBuild tasks?
505,bash,$$ in Bash.
506,oracle,Is it stupid to write a large batch processing program entirely in PL/SQL?
507,visual-studio,How do I enable Platform Builder mode in VS2008
508,osx,What is the best way to log out another user from their session on Mac OS X Leopard?
509,oracle,How do you know what a good index is?
510,visual-studio,"Visual Studio 2005: Please stop opening my CS files in ""Design Mode""!"
511,excel,What's the best way to export bug tracking data from hosted HP Quality Center?
512,visual-studio,mspdbsrv.exe living forever?
513,osx,What was the name of the Mac (68000) assembler?
514,visual-studio,Visual Studio opens default browser instead of IE
515,ajax,How do I preview a url using ajax?
516,visual-studio,Visual Studio: How to trigger an alarm when a breakpoint is hit?
517,svn,Nuking huge file in svn repository
518,visual-studio,"In Visual Studio 2008, how can I make control+click do a ""Go To Definition""?"
519,osx,What is the Bash command to create a hardlink to a directory in OS X?
520,svn,Lighttpd and WebDAV for serving a Subversion repo
521,apache,How can I block mp3 crawlers from my website under Apache?
522,svn,How to setup access control in SVN?
523,qt,"How can I hide/delete the ""?"" help button on the ""title bar"" of a QT Dialog?"
524,apache,.htaccess mod rewrite 301-redirect
525,visual-studio,Displaying build times in Visual Studio?
526,sharepoint,How do you customize the RSS feeds in SharePoint
527,sharepoint,How do I use calculated value date in Sharepoint lists field to find a date+30 days?
528,hibernate,Is it worth the effort to move from a hand crafted hibernate mapping file to annotaions?
529,sharepoint,How do I use the same field type in multiple lists on SharePoint?
530,sharepoint,Placing Share Documents subfolder as a webpart in SharePoint
531,oracle,Can you use Microsoft Entity Framework with Oracle?
532,visual-studio,How do you clear your MRU list in Visual Studio?
533,visual-studio,How do I reference a diagram in a DSL T4 template?
534,sharepoint,What are the best methods to ensure our SharePoint implementation is accessible?
535,sharepoint,What files are you allowed to modify in SharePoint 2007?
536,visual-studio,How to automatically remove trailing whitespace in Visual Studio 2008?
