id,text,intent
84,"depart in garching, i assume",DepartureTime
85,when does the next u-bahn depart at garching?,DepartureTime
86,the next bus from garching forschungzentrum,DepartureTime
87,when is the next train in alte heide?,DepartureTime
88,or depart from garching,DepartureTime
89,hello munich city bot! how do i get from münchner freiheit to scheidplatz?,FindConnection
90,how can i get from garching forschungszentrum to prinzregentenplatz,FindConnection
91,how can i get from neufahrn to garching,FindConnection
92,take me to the airport,FindConnection
93,when does the next u6 leave from garching forschungszentrum,DepartureTime
94,how i can get from munchner freiheit to nordfriedhof?,FindConnection
95,from harthaus to hackerbrücke,FindConnection
96,when is the train from garching,DepartureTime
97,what is the next train from münchner freiheit,DepartureTime
98,how can i get from theresienstrasse to garching forschungszentrum,FindConnection
99,how can i get from münchner freiheit to odeonsplatz,FindConnection
100,from garching to hauptbahnhof,FindConnection
101,how can i get from garching to odeonsplatz,FindConnection
102,start: neufahrn end:garching,FindConnection
103,how can i get from studentenstadt to garching,FindConnection
104,when is the next bus from garching,DepartureTime
105,take me from hauptbahnhof to odeonsplatz,FindConnection
106,what's the shortest connection between quiddestraße and odeonsplatz?,FindConnection
107,what is the cheapest connection between quiddestraße and hauptbahnhof?,FindConnection
108,what's the shortest way between hauptbahnhof and odeonsplatz?,FindConnection
109,how can i get from garching to münchner freiheit as fast as possible?,FindConnection
110,what's the cheapest way from neuperlach süd to lehel?,FindConnection
111,how can i get from neuperlach zentrum to karlsplatz as fast as possible?,FindConnection
112,could you give me the fastest connection between brudermühlstraße and alte heide?,FindConnection
113,is there a train from neuperlach zentrum to garching at 3 pm?,FindConnection
114,can you find a connection from olympiazentrum to lehel at 2 pm?,FindConnection
115,i need a connection from harras to karl-preis-platz at 8 am.,FindConnection
116,"in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?",FindConnection
117,i need to be in garching at 9,FindConnection
118,can i take a bus from quiddestraße to hauptbahnhof?,FindConnection
119,can you find the shortest way from moosfeld to milbertshofen?,FindConnection
120,how can i get to neuperlach süd from garching forschungszentrum?,FindConnection
121,can you find a bus from quiddestraße to lehel?,FindConnection
122,is there a tram from karlsplatz to lehel?,FindConnection
123,is there a bus from garching to moosach at around 5?,FindConnection
124,is there a bus from odeonsplatz to hauptbahnhof at 3 pm?,FindConnection
125,can you tell me the cheapest way from garching forschungszentrum to quiddestraße?,FindConnection
126,how can i get to quiddestraße?,FindConnection
127,when does the next bus leaves from hauptbahnhof?,DepartureTime
128,how can i get from garching to hauptbahnhof?,FindConnection
129,how can i get from kurt-eisner-straße to garching?,FindConnection
130,"when the next train in garching,forschungszentrum is leaving?",DepartureTime
131,what is the next connection from garching forschungszentrum to odeonsplatz?,FindConnection
132,how can i get from mossach to garching forschungszentrum?,FindConnection
133,how can i get from garching forschungszentrum to odeonsplatz?,FindConnection
134,"how can i get from garching, forschungszentrum to odeonsplatz?",FindConnection
135,how can i get from garching forschungszentrum to kurt-eisner-straße?,FindConnection
136,how can i get to boltzmannstraße from quiddestraße?,FindConnection
137,when does the next train departs from quiddestraße?,DepartureTime
138,when the next train in garching forschungszentrum is leaving?,DepartureTime
139,when is the next u6 leaving from garching?,DepartureTime
140,when does the next train leave from garching forschungszentrum,DepartureTime
141,when is the next u6?,DepartureTime
142,when is the next subway leaving from garching?,DepartureTime
143,when the next train in garching is leaving?,DepartureTime
144,when is the next train leaving in garching,DepartureTime
145,when does the next train leaves from odeonsplatz?,DepartureTime
146,when does the next train leaves from quiddestraße?,DepartureTime
147,when is the next train,DepartureTime
148,when does the next bus leaves at garching forschungszentrum?,DepartureTime
149,when does the next train leaves?,DepartureTime
150,when does the next bus leave in garching?,DepartureTime
151,when does the next s-bahn leaves from hauptbahnhof?,DepartureTime
152,when does the next subway departes from odeonsplatz?,DepartureTime
153,show me the next bus from garching!,DepartureTime
154,when does the next tram starts from hauptbahnhof?,DepartureTime
155,when will the next u-bahn depart from garching forschungszentrum?,DepartureTime
156,show me the next bus from michaelibad.,DepartureTime
157,when does the next train starts at sendlinger tor?,DepartureTime
158,"hey bot, when does the next bus starts at garching?",DepartureTime
159,when does the next bus leaves at garching?,DepartureTime
160,when is the bus from quiddestraße?,DepartureTime
161,when can i get a bus at mariahilfplatz?,DepartureTime
162,when does the next bus leaves at romanplatz?,DepartureTime
163,when does the bus to röblingweg starts?,DepartureTime
164,next bus from quiddestraße?,DepartureTime
165,when is the next bus leaving from garching?,DepartureTime
166,when is the train leaving in garching,DepartureTime
167,when is the train leaving in garching?,DepartureTime
168,how can i get from garching to odeonsplatz?,FindConnection
169,when is adrians next subway leaving at garching forschungszentrum?,DepartureTime
170,how can i get from olympiazentrum to hauptbahnhof?,FindConnection
171,how can i get from quiddestraße to boltzmannstraße?,FindConnection
172,how can i get from moosach to garching forschungszentrum?,FindConnection
173,can you give me a connection from garching to odeonsplatz?,FindConnection
174,when is the next train from garching,DepartureTime
175,when comes the next train,DepartureTime
176,when is the next train in nordfriedhof,DepartureTime
177,when does the next train come at garching forschungszentrum,DepartureTime
178,when is the next train from nordfriedhof to garching forschungszentrum,FindConnection
179,i want to travel from garching to odeonsplatz?,FindConnection
180,how can i get to sendlinger tor?,FindConnection
181,how do i get to untere straussäcker?,FindConnection
182,how can i get from garching to garching?,FindConnection
183,how can i get from garching to sendlinger tor?,FindConnection
184,how can i get from garchingto garching?,FindConnection
185,when is the next train from garching,DepartureTime
186,how do i get from marienplatz zu garching,FindConnection
187,how can i get to milbertshofen from garching?,FindConnection
188,when is the next train to garching,FindConnection
189,how can i get from garching to milbertshofen?,FindConnection
190,when does the next rocket leaves from garching forschungszentrum?,DepartureTime
191,connection from untere straßäcker 21 to kieferngarten,FindConnection
192,how to get from untere strassäcker 21 to frötmaning,FindConnection
193,how to get from untere strassaecker 21 to frötmaning,FindConnection
194,when is the next train from untere straßaecker 21 to kieferngarten,FindConnection
195,"when is the next train from untere straßaecker 21, garching to kieferngarten",FindConnection
196,from garching to perlach,FindConnection
197,how to get from garching to perlach?,FindConnection
198,how to get from bonnerplatz to freimann,FindConnection
199,when is the next train in nordfriedhof?,DepartureTime
200,when is the next train in münchner freiheit?,DepartureTime
201,connection from hauptbahnhof to odeonsplatz?,FindConnection
202,how do i get from olympia einkaufszentrum to hauptbahnhof?,FindConnection
203,when is the next bus in garching forschungszentrum,DepartureTime
204,how can i get from garching to marienplatz,FindConnection
205,from garching to studentenstadt,FindConnection
